Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 60 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 100 candles from Bitunix for ETHUSDT
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,763 - app.scalping_engine - INFO - [Scalping:8030312242] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:56 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:37:56 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,719 - app.scalping_engine - INFO - [Scalping:7675185179] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,741 - app.scalping_engine - INFO - [Scalping:1265990951] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,742 - app.scalping_engine - INFO - [Scalping:5874734020] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,895 - app.scalping_engine - INFO - [Scalping:2107355248] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,896 - app.scalping_engine - INFO - [Scalping:5187148337] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,896 - app.scalping_engine - INFO - [Scalping:7338184122] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,897 - app.scalping_engine - INFO - [Scalping:6954315669] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,898 - app.scalping_engine - INFO - [Scalping:5366384434] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:38:16 vmi3177971 python3[490155]: 2026-04-13 06:38:16,898 - app.scalping_engine - INFO - [Scalping:8429733088] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
